asset,lon,lat,taxonomy,number,structural,contents,area
53073000805-W1-MC,-122.38881,48.72610,W1-MC,1135.1,280407,140218,1982
53073000806-MH-PC,-122.26529,48.69217,MH-PC,1.4,110,55,2
53073000806-RM1L-PC,-122.26529,48.69217,RM1L-PC,1.9,589,294,4
53073000806-W1-PC,-122.26529,48.69217,W1-PC,92.3,25753,12877,169
53073000806-C2L-LC,-122.26529,48.69217,C2L-LC,0.3,334,167,2
53073000806-C3L-LC,-122.26529,48.69217,C3L-LC,0.3,287,144,2
53073000806-MH-LC,-122.26529,48.69217,MH-LC,8.3,649,327,10
53073000806-RM1L-LC,-122.26529,48.69217,RM1L-LC,11.4,3479,1739,23
53073000806-W1-LC,-122.26529,48.69217,W1-LC,545.1,152132,76071,997
53073000806-C2L-MC,-122.26529,48.69217,C2L-MC,1.7,1705,853,10
53073000806-MH-MC,-122.26529,48.69217,MH-MC,42.5,3312,1667,49
53073000806-RM1L-MC,-122.26529,48.69217,RM1L-MC,58.1,17742,8872,115
53073000806-S3-MC,-122.26529,48.69217,S3-MC,0.4,491,246,3
53073000806-W1-MC,-122.26529,48.69217,W1-MC,2780.2,775923,387986,5085
53031950702-MH-PC,-123.80566,47.74224,MH-PC,7.7,395,198,8
53031950702-W1-PC,-123.80566,47.74224,W1-PC,21.0,3429,1715,31
53031950702-C2L-MC,-123.80566,47.74224,C2L-MC,1.8,2516,1259,13
53031950702-MH-MC,-123.80566,47.74224,MH-MC,419.9,21527,10796,419
53031950702-RM1L-MC,-123.80566,47.74224,RM1L-MC,25.0,6240,3122,48
53031950702-S1L-MC,-123.80566,47.74224,S1L-MC,0.2,333,167,2
53031950702-S2L-MC,-123.80566,47.74224,S2L-MC,0.1,268,134,1
53031950702-S4L-MC,-123.80566,47.74224,S4L-MC,0.2,505,253,3
53031950702-W1-MC,-123.80566,47.74224,W1-MC,1144.5,187045,93560,1707
53061040500-C2L-PC,-122.18151,47.98494,C2L-PC,1.6,1289,645,8
53061040500-C3L-PC,-122.18151,47.98494,C3L-PC,0.9,390,195,3
53061040500-MH-PC,-122.18151,47.98494,MH-PC,0.8,368,184,3
53061040500-RM1L-PC,-122.18151,47.98494,RM1L-PC,7.5,1994,997,15
53061040500-S3-PC,-122.18151,47.98494,S3-PC,0.4,179,90,1
53061040500-W1-PC,-122.18151,47.98494,W1-PC,471.7,94081,47054,772
53061040500-C2L-LC,-122.18151,47.98494,C2L-LC,0.7,570,285,3
53061040500-C3L-LC,-122.18151,47.98494,C3L-LC,0.4,172,86,1
53061040500-MH-LC,-122.18151,47.98494,MH-LC,0.4,163,81,1
53061040500-RM1L-LC,-122.18151,47.98494,RM1L-LC,3.3,881,441,7
53061040500-W1-LC,-122.18151,47.98494,W1-LC,208.4,41575,20793,341
53061040500-C2L-MC,-122.18151,47.98494,C2L-MC,0.5,415,208,2
53061040500-RM1L-MC,-122.18151,47.98494,RM1L-MC,2.4,642,321,5
53061040500-W1-MC,-122.18151,47.98494,W1-MC,152.0,30311,15160,249
53053061500-C2L-PC,-122.44945,47.26220,C2L-PC,7.3,12772,6387,74
53053061500-C3L-PC,-122.44945,47.26220,C3L-PC,4.4,7013,3507,42
53053061500-MH-PC,-122.44945,47.26220,MH-PC,4.5,7126,3564,43
53053061500-RM1L-PC,-122.44945,47.26220,RM1L-PC,8.5,12253,6128,73
53053061500-S1L-PC,-122.44945,47.26220,S1L-PC,0.2,431,216,2
53053061500-S3-PC,-122.44945,47.26220,S3-PC,2.1,3389,1695,20
53053061500-S4L-PC,-122.44945,47.26220,S4L-PC,0.1,281,140,1
53053061500-W1-PC,-122.44945,47.26220,W1-PC,189.6,181577,90815,1132
53053061500-C2L-LC,-122.44945,47.26220,C2L-LC,3.4,5842,2921,34
53053061500-C3L-LC,-122.44945,47.26220,C3L-LC,2.0,3208,1604,19
53053061500-MH-LC,-122.44945,47.26220,MH-LC,2.0,3259,1630,20
53053061500-RM1L-LC,-122.44945,47.26220,RM1L-LC,3.9,5604,2803,33
53053061500-S3-LC,-122.44945,47.26220,S3-LC,1.0,1550,775,9
53053061500-W1-LC,-122.44945,47.26220,W1-LC,86.7,83054,41539,518
53053061500-C2L-MC,-122.44945,47.26220,C2L-MC,4.2,7293,3647,42
53053061500-MH-MC,-122.44945,47.26220,MH-MC,2.5,4069,2035,25
53053061500-RM1L-MC,-122.44945,47.26220,RM1L-MC,4.8,6996,3499,42
53053061500-S1L-MC,-122.44945,47.26220,S1L-MC,0.1,246,123,1
53053061500-S3-MC,-122.44945,47.26220,S3-MC,1.2,1935,968,12
53053061500-W1-MC,-122.44945,47.26220,W1-MC,108.2,103679,51855,646
53043960200-C2L-PC,-118.11002,47.71433,C2L-PC,0.4,533,267,3
53043960200-MH-PC,-118.11002,47.71433,MH-PC,150.0,7715,3891,150
53043960200-RM1L-PC,-118.11002,47.71433,RM1L-PC,10.0,2864,1433,20
53043960200-W1-PC,-118.11002,47.71433,W1-PC,494.2,114581,57323,836
53043960200-C2L-LC,-118.11002,47.71433,C2L-LC,0.7,933,467,6
53043960200-MH-LC,-118.11002,47.71433,MH-LC,262.6,13509,6814,262
53043960200-RM1L-LC,-118.11002,47.71433,RM1L-LC,17.4,5016,2509,35
53043960200-S3-LC,-118.11002,47.71433,S3-LC,0.2,174,87,1
53043960200-W1-LC,-118.11002,47.71433,W1-LC,865.3,200635,100374,1465
53033007500-C2L-PC,-122.31689,47.61839,C2L-PC,8.5,15396,7700,87
53033007500-C3L-PC,-122.31689,47.61839,C3L-PC,7.8,12897,6450,76
53033007500-MH-PC,-122.31689,47.61839,MH-PC,5.5,8984,4493,53
53033007500-RM1L-PC,-122.31689,47.61839,RM1L-PC,10.4,15952,7978,92
53033007500-S1L-PC,-122.31689,47.61839,S1L-PC,0.1,456,228,2
53033007500-S3-PC,-122.31689,47.61839,S3-PC,2.6,4251,2126,25
53033007500-S4L-PC,-122.31689,47.61839,S4L-PC,0.1,345,172,2
53033007500-W1-PC,-122.31689,47.61839,W1-PC,209.7,219967,110015,1322
53033007500-C2L-MC,-122.31689,47.61839,C2L-MC,10.6,19323,9664,110
53033007500-MH-MC,-122.31689,47.61839,MH-MC,6.8,11276,5640,66
53033007500-RM1L-MC,-122.31689,47.61839,RM1L-MC,13.0,20021,10013,116
53033007500-S1L-MC,-122.31689,47.61839,S1L-MC,0.2,572,286,3
53033007500-S2L-MC,-122.31689,47.61839,S2L-MC,0.1,246,123,1
53033007500-S3-MC,-122.31689,47.61839,S3-MC,3.2,5335,2668,31
53033007500-S4L-MC,-122.31689,47.61839,S4L-MC,0.1,433,216,2
53033007500-W1-MC,-122.31689,47.61839,W1-MC,263.2,276076,138077,1660
53033023900-C2L-PC,-122.20023,47.58307,C2L-PC,0.4,787,394,4
53033023900-C3L-PC,-122.20023,47.58307,C3L-PC,1.3,2088,1044,12
53033023900-MH-PC,-122.20023,47.58307,MH-PC,0.2,372,186,2
53033023900-RM1L-PC,-122.20023,47.58307,RM1L-PC,3.5,1979,990,11
53033023900-S3-PC,-122.20023,47.58307,S3-PC,0.1,180,90,1
53033023900-W1-PC,-122.20023,47.58307,W1-PC,160.4,61821,30913,349
53033023900-C2L-MC,-122.20023,47.58307,C2L-MC,4.8,9423,4712,51
53033023900-MH-MC,-122.20023,47.58307,MH-MC,2.8,4457,2229,25
53033023900-RM1L-MC,-122.20023,47.58307,RM1L-MC,41.5,23696,11850,132
53033023900-S1L-MC,-122.20023,47.58307,S1L-MC,0.1,441,220,2
53033023900-S2L-MC,-122.20023,47.58307,S2L-MC,0.1,364,182,2
53033023900-S3-MC,-122.20023,47.58307,S3-MC,1.4,2158,1079,12
53033023900-S4L-MC,-122.20023,47.58307,S4L-MC,0.1,462,231,2
53033023900-W1-MC,-122.20023,47.58307,W1-MC,1920.8,740242,370150,4174
53015001501-MH-PC,-122.47855,46.03715,MH-PC,22.2,1135,569,22
53015001501-RM1L-PC,-122.47855,46.03715,RM1L-PC,1.1,235,117,2
53015001501-W1-PC,-122.47855,46.03715,W1-PC,50.7,10274,5139,81
53015001501-MH-LC,-122.47855,46.03715,MH-LC,84.0,4297,2155,84
53015001501-RM1L-LC,-122.47855,46.03715,RM1L-LC,4.0,889,445,7
53015001501-W1-LC,-122.47855,46.03715,W1-LC,191.9,38910,19462,307
53015001501-C2L-MC,-122.47855,46.03715,C2L-MC,0.7,355,178,2
53015001501-MH-MC,-122.47855,46.03715,MH-MC,304.9,15603,7824,304
53015001501-RM1L-MC,-122.47855,46.03715,RM1L-MC,14.5,3227,1614,25
53015001501-W1-MC,-122.47855,46.03715,W1-MC,696.6,141273,70663,1116
53015001502-C2L-PC,-122.75872,45.92081,C2L-PC,0.4,727,364,4
53015001502-MH-PC,-122.75872,45.92081,MH-PC,17.6,1001,502,18
53015001502-RM1L-PC,-122.75872,45.92081,RM1L-PC,2.0,1336,668,8
53015001502-W1-PC,-122.75872,45.92081,W1-PC,78.5,20194,10099,147
53015001502-C2L-LC,-122.75872,45.92081,C2L-LC,2.0,4085,2043,23
53015001502-C3L-LC,-122.75872,45.92081,C3L-LC,1.3,683,342,5
53015001502-MH-LC,-122.75872,45.92081,MH-LC,98.8,5623,2819,102
53015001502-RM1L-LC,-122.75872,45.92081,RM1L-LC,11.2,7504,3753,46
53015001502-S1L-LC,-122.75872,45.92081,S1L-LC,0.1,625,313,3
53015001502-S3-LC,-122.75872,45.92081,S3-LC,0.6,686,343,4
53015001502-S4L-LC,-122.75872,45.92081,S4L-LC,0.1,702,351,4
53015001502-W1-LC,-122.75872,45.92081,W1-LC,440.7,113398,56710,825
53015001502-C2L-MC,-122.75872,45.92081,C2L-MC,6.8,13822,6912,79
53015001502-MH-MC,-122.75872,45.92081,MH-MC,334.3,19027,9539,344
53015001502-RM1L-MC,-122.75872,45.92081,RM1L-MC,37.8,25391,12697,156
53015001502-S1L-MC,-122.75872,45.92081,S1L-MC,0.2,2115,1058,11
53015001502-S2L-MC,-122.75872,45.92081,S2L-MC,0.1,275,137,1
53015001502-S3-MC,-122.75872,45.92081,S3-MC,1.9,2319,1160,14
53015001502-S4L-MC,-122.75872,45.92081,S4L-MC,0.3,2374,1187,13
53015001502-W1-MC,-122.75872,45.92081,W1-MC,1491.1,383691,191882,2790
53035080101-C3L-PC,-122.64821,47.59718,C3L-PC,1.4,1142,571,7
53035080101-MH-PC,-122.64821,47.59718,MH-PC,0.8,94,47,1
53035080101-RM1L-PC,-122.64821,47.59718,RM1L-PC,0.3,165,83,1
53035080101-W1-PC,-122.64821,47.59718,W1-PC,9.6,2702,1351,20
53035080101-C2L-MC,-122.64821,47.59718,C2L-MC,6.4,6082,3042,36
53035080101-MH-MC,-122.64821,47.59718,MH-MC,47.5,5759,2886,65
53035080101-RM1L-MC,-122.64821,47.59718,RM1L-MC,18.8,10162,5082,64
53035080101-S3-MC,-122.64821,47.59718,S3-MC,1.9,1555,778,10
53035080101-S4L-MC,-122.64821,47.59718,S4L-MC,0.1,261,131,1
53035080101-W1-MC,-122.64821,47.59718,W1-MC,592.6,166006,83017,1204
53033032102-MH-PC,-121.96578,47.48515,MH-PC,6.9,353,177,7
53033032102-RM1L-PC,-121.96578,47.48515,RM1L-PC,1.5,483,242,3
53033032102-W1-PC,-121.96578,47.48515,W1-PC,74.1,21963,10983,138
53033032102-C2L-LC,-121.96578,47.48515,C2L-LC,0.4,335,168,2
53033032102-MH-LC,-121.96578,47.48515,MH-LC,50.6,2581,1297,50
53033032102-RM1L-LC,-121.96578,47.48515,RM1L-LC,11.2,3531,1766,22
53033032102-W1-LC,-121.96578,47.48515,W1-LC,541.5,160575,80295,1010
53033032102-C2L-MC,-121.96578,47.48515,C2L-MC,0.7,636,319,3
53033032102-MH-MC,-121.96578,47.48515,MH-MC,96.2,4904,2464,96
53033032102-RM1L-MC,-121.96578,47.48515,RM1L-MC,21.2,6708,3355,41
53033032102-W1-MC,-121.96578,47.48515,W1-MC,1028.7,305044,152535,1919
53033032103-C2L-PC,-122.04879,47.53906,C2L-PC,0.6,496,248,3
53033032103-C3L-PC,-122.04879,47.53906,C3L-PC,2.6,1799,900,12
53033032103-MH-PC,-122.04879,47.53906,MH-PC,0.4,262,131,2
53033032103-RM1L-PC,-122.04879,47.53906,RM1L-PC,1.6,832,416,5
53033032103-W1-PC,-122.04879,47.53906,W1-PC,51.9,15293,7648,107
53033032103-C2L-MC,-122.04879,47.53906,C2L-MC,12.2,11047,5526,67
53033032103-MH-MC,-122.04879,47.53906,MH-MC,8.4,5837,2920,39
53033032103-RM1L-MC,-122.04879,47.53906,RM1L-MC,36.5,18515,9262,120
53033032103-S1L-MC,-122.04879,47.53906,S1L-MC,0.2,493,246,2
53033032103-S2L-MC,-122.04879,47.53906,S2L-MC,0.2,412,206,2
53033032103-S3-MC,-122.04879,47.53906,S3-MC,3.6,2489,1245,17
53033032103-S4L-MC,-122.04879,47.53906,S4L-MC,0.3,747,374,4
53033032103-W1-MC,-122.04879,47.53906,W1-MC,1154.2,340357,170223,2383
53033032104-C2L-PC,-122.05315,47.50512,C2L-PC,0.2,417,209,2
53033032104-C3L-PC,-122.05315,47.50512,C3L-PC,1.4,1816,908,11
53033032104-MH-PC,-122.05315,47.50512,MH-PC,0.1,166,83,1
53033032104-RM1L-PC,-122.05315,47.50512,RM1L-PC,1.1,714,357,4
53033032104-W1-PC,-122.05315,47.50512,W1-PC,40.5,13343,6672,87
53033032104-C2L-MC,-122.05315,47.50512,C2L-MC,8.3,15634,7819,86
53033032104-MH-MC,-122.05315,47.50512,MH-MC,4.6,6209,3106,38
53033032104-RM1L-MC,-122.05315,47.50512,RM1L-MC,39.9,26731,13369,159
53033032104-S1L-MC,-122.05315,47.50512,S1L-MC,0.3,1015,508,5
53033032104-S2L-MC,-122.05315,47.50512,S2L-MC,0.3,967,483,5
53033032104-S3-MC,-122.05315,47.50512,S3-MC,2.0,2719,1360,17
53033032104-S4L-MC,-122.05315,47.50512,S4L-MC,0.5,1586,793,8
53033032104-W1-MC,-122.05315,47.50512,W1-MC,1518.5,499840,249955,3250
53067012530-MH-PC,-122.72194,46.89221,MH-PC,20.9,1086,545,21
53067012530-RM1L-PC,-122.72194,46.89221,RM1L-PC,1.9,451,226,3
53067012530-W1-PC,-122.72194,46.89221,W1-PC,90.4,20740,10372,152
53067012530-MH-LC,-122.72194,46.89221,MH-LC,54.9,2859,1434,55
53067012530-RM1L-LC,-122.72194,46.89221,RM1L-LC,5.0,1187,594,9
53067012530-W1-LC,-122.72194,46.89221,W1-LC,237.9,54588,27300,399
53067012530-C2L-MC,-122.72194,46.89221,C2L-MC,1.0,378,190,3
53067012530-MH-MC,-122.72194,46.89221,MH-MC,214.1,11141,5588,214
53067012530-RM1L-MC,-122.72194,46.89221,RM1L-MC,19.4,4625,2314,34
53067012530-W1-MC,-122.72194,46.89221,W1-MC,927.2,212733,106390,1556
53067012510-MH-LC,-122.40646,46.80415,MH-LC,2.7,138,69,3
53067012510-RM1L-LC,-122.40646,46.80415,RM1L-LC,1.1,250,125,2
53067012510-W1-LC,-122.40646,46.80415,W1-LC,53.9,12262,6132,90
53067012510-MH-MC,-122.40646,46.80415,MH-MC,64.3,3279,1647,64
53067012510-RM1L-MC,-122.40646,46.80415,RM1L-MC,26.0,5935,2968,43
53067012510-W1-MC,-122.40646,46.80415,W1-MC,1276.0,290511,145265,2126
53073000901-C2L-PC,-122.44831,48.74518,C2L-PC,0.3,413,207,2
53073000901-C3L-PC,-122.44831,48.74518,C3L-PC,0.2,244,122,1
53073000901-MH-PC,-122.44831,48.74518,MH-PC,10.3,798,399,12
53073000901-RM1L-PC,-122.44831,48.74518,RM1L-PC,1.7,840,420,5
53073000901-W1-PC,-122.44831,48.74518,W1-PC,63.9,16694,8348,121
53073000901-C2L-LC,-122.44831,48.74518,C2L-LC,2.3,2894,1447,17
53073000901-C3L-LC,-122.44831,48.74518,C3L-LC,1.3,1707,854,10
53073000901-MH-LC,-122.44831,48.74518,MH-LC,72.2,5588,2796,82
53073000901-RM1L-LC,-122.44831,48.74518,RM1L-LC,11.7,5882,2941,37
53073000901-S3-LC,-122.44831,48.74518,S3-LC,0.7,884,442,5
53073000901-W1-LC,-122.44831,48.74518,W1-LC,447.6,116860,58437,849
53073000901-C2L-MC,-122.44831,48.74518,C2L-MC,5.9,7573,3787,43
53073000901-MH-MC,-122.44831,48.74518,MH-MC,189.0,14622,7316,214
53073000901-RM1L-MC,-122.44831,48.74518,RM1L-MC,30.6,15389,7696,97
53073000901-S3-MC,-122.44831,48.74518,S3-MC,1.7,2313,1157,13
53073000901-S4L-MC,-122.44831,48.74518,S4L-MC,0.2,212,106,1
53073000901-W1-MC,-122.44831,48.74518,W1-MC,1171.2,305769,152903,2223
53073000902-C2L-PC,-122.44810,48.71542,C2L-PC,0.5,403,202,3
53073000902-C3L-PC,-122.44810,48.71542,C3L-PC,0.3,150,75,1
53073000902-MH-PC,-122.44810,48.71542,MH-PC,16.3,958,480,17
53073000902-RM1L-PC,-122.44810,48.71542,RM1L-PC,3.2,1078,539,7
53073000902-W1-PC,-122.44810,48.71542,W1-PC,136.6,32792,16398,240
53073000902-C2L-LC,-122.44810,48.71542,C2L-LC,1.3,1048,524,7
53073000902-C3L-LC,-122.44810,48.71542,C3L-LC,0.8,390,195,3
53073000902-MH-LC,-122.44810,48.71542,MH-LC,42.3,2490,1247,44
53073000902-RM1L-LC,-122.44810,48.71542,RM1L-LC,8.4,2804,1402,19
53073000902-S3-LC,-122.44810,48.71542,S3-LC,0.3,167,83,1
53073000902-W1-LC,-122.44810,48.71542,W1-LC,355.2,85258,42635,625
53073000902-C2L-MC,-122.44810,48.71542,C2L-MC,4.9,3925,1963,24
53073000902-MH-MC,-122.44810,48.71542,MH-MC,158.2,9322,4669,166
53073000902-RM1L-MC,-122.44810,48.71542,RM1L-MC,31.5,10497,5250,73
53073000902-S1L-MC,-122.44810,48.71542,S1L-MC,0.2,299,149,1
53073000902-S3-MC,-122.44810,48.71542,S3-MC,1.2,625,313,5
53073000902-S4L-MC,-122.44810,48.71542,S4L-MC,0.3,439,220,2
53073000902-W1-MC,-122.44810,48.71542,W1-MC,1329.6,319172,159609,2338
53057952200-C2L-PC,-122.34219,48.43986,C2L-PC,0.2,248,124,1
53057952200-MH-PC,-122.34219,48.43986,MH-PC,1.2,189,94,2
53057952200-RM1L-PC,-122.34219,48.43986,RM1L-PC,0.7,410,205,3
53057952200-W1-PC,-122.34219,48.43986,W1-PC,20.8,5263,2632,41
53057952200-C2L-LC,-122.34219,48.43986,C2L-LC,2.7,3301,1651,19
53057952200-C3L-LC,-122.34219,48.43986,C3L-LC,1.4,1466,733,9
53057952200-MH-LC,-122.34219,48.43986,MH-LC,16.1,2517,1260,25
53057952200-RM1L-LC,-122.34219,48.43986,RM1L-LC,8.8,5461,2731,35
53057952200-S3-LC,-122.34219,48.43986,S3-LC,0.8,900,450,5
53057952200-S4L-LC,-122.34219,48.43986,S4L-LC,0.1,208,104,1
53057952200-W1-LC,-122.34219,48.43986,W1-LC,277.3,70170,35094,548
53057952200-C2L-MC,-122.34219,48.43986,C2L-MC,5.6,6777,3389,40
53057952200-MH-MC,-122.34219,48.43986,MH-MC,33.1,5168,2587,52
53057952200-RM1L-MC,-122.34219,48.43986,RM1L-MC,18.1,11213,5608,71
53057952200-S1L-MC,-122.34219,48.43986,S1L-MC,0.2,380,190,2
53057952200-S3-MC,-122.34219,48.43986,S3-MC,1.6,1848,924,11
53057952200-S4L-MC,-122.34219,48.43986,S4L-MC,0.2,427,214,2
53057952200-W1-MC,-122.34219,48.43986,W1-MC,569.3,144068,72052,1125
53053061601-C2L-PC,-122.44023,47.25423,C2L-PC,2.0,7292,3646,39
53053061601-C3L-PC,-122.44023,47.25423,C3L-PC,0.8,2662,1331,15
53053061601-MH-PC,-122.44023,47.25423,MH-PC,14.5,3432,1718,29
53053061601-RM1L-PC,-122.44023,47.25423,RM1L-PC,2.3,5872,2936,32
53053061601-S1L-PC,-122.44023,47.25423,S1L-PC,0.1,571,285,3
53053061601-S2L-PC,-122.44023,47.25423,S2L-PC,0.1,268,134,1
53053061601-S3-PC,-122.44023,47.25423,S3-PC,0.4,1243,622,7
53053061601-S4L-PC,-122.44023,47.25423,S4L-PC,0.1,401,201,2
53053061601-W1-PC,-122.44023,47.25423,W1-PC,63.8,71673,35843,430
53053061601-C2L-LC,-122.44023,47.25423,C2L-LC,0.8,3021,1511,16
53053061601-C3L-LC,-122.44023,47.25423,C3L-LC,0.3,1103,551,6
53053061601-MH-LC,-122.44023,47.25423,MH-LC,6.0,1422,712,12
53053061601-RM1L-LC,-122.44023,47.25423,RM1L-LC,0.9,2433,1217,13
53053061601-S1L-LC,-122.44023,47.25423,S1L-LC,0.1,236,118,1
53053061601-S3-LC,-122.44023,47.25423,S3-LC,0.2,515,258,3
53053061601-W1-LC,-122.44023,47.25423,W1-LC,26.4,29693,14849,178
53053061601-C2L-MC,-122.44023,47.25423,C2L-MC,1.2,4569,2284,24
53053061601-MH-MC,-122.44023,47.25423,MH-MC,9.1,2150,1076,18
53053061601-RM1L-MC,-122.44023,47.25423,RM1L-MC,1.4,3679,1840,20
53053061601-S1L-MC,-122.44023,47.25423,S1L-MC,0.1,357,179,2
53053061601-S3-MC,-122.44023,47.25423,S3-MC,0.2,779,390,4
53053061601-S4L-MC,-122.44023,47.25423,S4L-MC,0.1,251,126,1
53053061601-W1-MC,-122.44023,47.25423,W1-MC,40.0,44905,22457,269
53053061602-C2L-PC,-122.43774,47.24015,C2L-PC,1.3,3638,1819,19
53053061602-C3L-PC,-122.43774,47.24015,C3L-PC,0.4,750,375,4
53053061602-MH-PC,-122.43774,47.24015,MH-PC,8.0,1110,557,12
53053061602-RM1L-PC,-122.43774,47.24015,RM1L-PC,1.7,3717,1858,20
53053061602-S1L-PC,-122.43774,47.24015,S1L-PC,0.1,364,182,2
53053061602-S3-PC,-122.43774,47.24015,S3-PC,0.2,355,178,2
53053061602-S4L-PC,-122.43774,47.24015,S4L-PC,0.1,334,167,2
53053061602-W1-PC,-122.43774,47.24015,W1-PC,34.0,24595,12301,152
53053061602-C2L-LC,-122.43774,47.24015,C2L-LC,0.8,2181,1090,11
53053061602-C3L-LC,-122.43774,47.24015,C3L-LC,0.2,450,225,3
53053061602-MH-LC,-122.43774,47.24015,MH-LC,4.8,665,334,7
53053061602-RM1L-LC,-122.43774,47.24015,RM1L-LC,1.0,2228,1114,12
53053061602-S1L-LC,-122.43774,47.24015,S1L-LC,0.1,218,109,1
53053061602-S3-LC,-122.43774,47.24015,S3-LC,0.1,213,106,1
53053061602-W1-LC,-122.43774,47.24015,W1-LC,20.4,14742,7373,91
53053061602-C2L-MC,-122.43774,47.24015,C2L-MC,2.0,5659,2830,29
53053061602-MH-MC,-122.43774,47.24015,MH-MC,12.4,1726,866,18
53053061602-RM1L-MC,-122.43774,47.24015,RM1L-MC,2.6,5780,2890,30
53053061602-S1L-MC,-122.43774,47.24015,S1L-MC,0.2,566,283,3
53053061602-S2L-MC,-122.43774,47.24015,S2L-MC,0.1,291,146,1
53053061602-S3-MC,-122.43774,47.24015,S3-MC,0.3,552,276,3
53053061602-S4L-MC,-122.43774,47.24015,S4L-MC,0.2,519,260,3
53053061602-W1-MC,-122.43774,47.24015,W1-MC,52.9,38251,19131,237
53035080102-C2L-PC,-122.63788,47.59197,C2L-PC,0.2,205,103,1
53035080102-C3L-PC,-122.63788,47.59197,C3L-PC,3.3,1724,862,12
53035080102-MH-PC,-122.63788,47.59197,MH-PC,0.7,107,54,1
53035080102-RM1L-PC,-122.63788,47.59197,RM1L-PC,0.7,327,163,2
53035080102-W1-PC,-122.63788,47.59197,W1-PC,26.8,6656,3328,50
53035080102-C2L-MC,-122.63788,47.59197,C2L-MC,11.2,9559,4781,57
53035080102-MH-MC,-122.63788,47.59197,MH-MC,34.4,4983,2498,52
53035080102-RM1L-MC,-122.63788,47.59197,RM1L-MC,34.5,15224,7613,100
53035080102-S1L-MC,-122.63788,47.59197,S1L-MC,0.2,625,313,3
53035080102-S2L-MC,-122.63788,47.59197,S2L-MC,0.1,467,234,2
53035080102-S3-MC,-122.63788,47.59197,S3-MC,3.3,1720,860,12
53035080102-S4L-MC,-122.63788,47.59197,S4L-MC,0.2,607,304,3
53035080102-W1-MC,-122.63788,47.59197,W1-MC,1251.7,310279,155162,2325
53053071100-C2L-PC,-122.36864,47.17541,C2L-PC,0.3,207,104,1
53053071100-MH-PC,-122.36864,47.17541,MH-PC,29.3,1615,809,30
53053071100-RM1L-PC,-122.36864,47.17541,RM1L-PC,2.3,642,321,5
53053071100-W1-PC,-122.36864,47.17541,W1-PC,115.9,24406,12204,194
53053071100-C2L-LC,-122.36864,47.17541,C2L-LC,0.7,519,260,3
53053071100-C3L-LC,-122.36864,47.17541,C3L-LC,0.3,259,130,2
53053071100-MH-LC,-122.36864,47.17541,MH-LC,73.2,4042,2024,75
53053071100-RM1L-LC,-122.36864,47.17541,RM1L-LC,5.8,1607,804,12
53053071100-S3-LC,-122.36864,47.17541,S3-LC,0.2,154,77,1
53053071100-W1-LC,-122.36864,47.17541,W1-LC,290.0,61086,30545,487
53053071100-C2L-MC,-122.36864,47.17541,C2L-MC,0.6,480,240,3
53053071100-MH-MC,-122.36864,47.17541,MH-MC,67.8,3742,1874,69
53053071100-RM1L-MC,-122.36864,47.17541,RM1L-MC,5.4,1488,744,11
53053071100-W1-MC,-122.36864,47.17541,W1-MC,268.4,56545,28275,451
53017950700-MH-PC,-120.27072,47.41116,MH-PC,3.3,259,130,4
53017950700-RM1L-PC,-120.27072,47.41116,RM1L-PC,0.6,264,132,2
53017950700-W1-PC,-120.27072,47.41116,W1-PC,23.8,5738,2869,45
53017950700-C2L-LC,-120.27072,47.41116,C2L-LC,5.1,4913,2457,32
53017950700-C3L-LC,-120.27072,47.41116,C3L-LC,1.2,1226,613,8
53017950700-MH-LC,-120.27072,47.41116,MH-LC,125.3,9697,4864,144
53017950700-RM1L-LC,-120.27072,47.41116,RM1L-LC,23.4,9897,4949,70
53017950700-S3-LC,-120.27072,47.41116,S3-LC,1.6,1621,811,10
53017950700-W1-LC,-120.27072,47.41116,W1-LC,890.4,214936,107488,1675
53033007600-C2L-PC,-122.30759,47.62187,C2L-PC,4.8,5639,2821,33
53033007600-C3L-PC,-122.30759,47.62187,C3L-PC,4.0,4654,2328,28
53033007600-MH-PC,-122.30759,47.62187,MH-PC,2.8,3238,1620,20
53033007600-RM1L-PC,-122.30759,47.62187,RM1L-PC,8.5,6102,3052,38
53033007600-S3-PC,-122.30759,47.62187,S3-PC,1.4,1578,789,10
53033007600-W1-PC,-122.30759,47.62187,W1-PC,334.5,137399,68725,920
53033007600-C2L-MC,-122.30759,47.62187,C2L-MC,4.1,4823,2413,28
53033007600-MH-MC,-122.30759,47.62187,MH-MC,2.4,2770,1386,17
53033007600-RM1L-MC,-122.30759,47.62187,RM1L-MC,7.2,5219,2611,32
53033007600-S3-MC,-122.30759,47.62187,S3-MC,1.2,1349,675,8
53033007600-W1-MC,-122.30759,47.62187,W1-MC,286.1,117516,58780,787
53067012520-MH-PC,-122.60700,46.82936,MH-PC,44.0,2250,1128,44
53067012520-RM1L-PC,-122.60700,46.82936,RM1L-PC,3.3,853,426,6
53067012520-W1-PC,-122.60700,46.82936,W1-PC,163.0,42340,21172,287
53067012520-MH-LC,-122.60700,46.82936,MH-LC,138.6,7082,3549,138
53067012520-RM1L-LC,-122.60700,46.82936,RM1L-LC,10.2,2684,1342,18
53067012520-W1-LC,-122.60700,46.82936,W1-LC,513.2,133280,66648,903
53067012520-C2L-MC,-122.60700,46.82936,C2L-MC,0.5,157,79,1
53067012520-MH-MC,-122.60700,46.82936,MH-MC,438.0,22387,11220,436
