asset,lon,lat,taxonomy,number,structural,contents,area
53045960800-RM1L-PC,-123.09037,47.23362,RM1L-PC,5.4,3851,1926,23
53045960800-S1L-PC,-123.09037,47.23362,S1L-PC,0.1,355,177,2
53045960800-S2L-PC,-123.09037,47.23362,S2L-PC,0.1,216,108,1
53045960800-S3-PC,-123.09037,47.23362,S3-PC,0.3,343,172,2
53045960800-S4L-PC,-123.09037,47.23362,S4L-PC,0.1,350,175,2
53045960800-W1-PC,-123.09037,47.23362,W1-PC,232.5,50040,25031,408
53045960800-C2L-LC,-123.09037,47.23362,C2L-LC,2.5,5336,2668,28
53045960800-C3L-LC,-123.09037,47.23362,C3L-LC,0.8,960,480,6
53045960800-MH-LC,-123.09037,47.23362,MH-LC,43.3,3309,1659,49
53045960800-RM1L-LC,-123.09037,47.23362,RM1L-LC,8.2,5852,2927,35
53045960800-S1L-LC,-123.09037,47.23362,S1L-LC,0.2,539,269,3
53045960800-S2L-LC,-123.09037,47.23362,S2L-LC,0.1,328,164,2
53045960800-S3-LC,-123.09037,47.23362,S3-LC,0.5,522,261,3
53045960800-S4L-LC,-123.09037,47.23362,S4L-LC,0.2,532,266,3
53045960800-W1-LC,-123.09037,47.23362,W1-LC,353.2,76030,38032,619
53045960800-C2L-MC,-123.09037,47.23362,C2L-MC,2.9,6304,3153,34
53045960800-MH-MC,-123.09037,47.23362,MH-MC,51.2,3909,1960,58
53045960800-RM1L-MC,-123.09037,47.23362,RM1L-MC,9.7,6914,3458,41
53045960800-S1L-MC,-123.09037,47.23362,S1L-MC,0.2,637,318,3
53045960800-S2L-MC,-123.09037,47.23362,S2L-MC,0.1,388,194,2
53045960800-S3-MC,-123.09037,47.23362,S3-MC,0.5,617,308,4
53045960800-S4L-MC,-123.09037,47.23362,S4L-MC,0.2,629,315,3
53045960800-W1-MC,-123.09037,47.23362,W1-MC,417.3,89834,44937,732
53041971300-MH-PC,-122.87831,46.53349,MH-PC,32.6,1685,845,33
53041971300-RM1L-PC,-122.87831,46.53349,RM1L-PC,2.1,495,247,4
53041971300-W1-PC,-122.87831,46.53349,W1-PC,98.7,22625,11314,166
53041971300-C2L-LC,-122.87831,46.53349,C2L-LC,0.4,151,75,1
53041971300-MH-LC,-122.87831,46.53349,MH-LC,115.8,5979,2997,116
53041971300-RM1L-LC,-122.87831,46.53349,RM1L-LC,7.3,1756,878,13
53041971300-W1-LC,-122.87831,46.53349,W1-LC,350.1,80264,40139,589
53041971300-C2L-MC,-122.87831,46.53349,C2L-MC,1.2,481,240,4
53041971300-MH-MC,-122.87831,46.53349,MH-MC,369.7,19086,9566,370
53041971300-RM1L-MC,-122.87831,46.53349,RM1L-MC,23.3,5604,2803,41
53041971300-S3-MC,-122.87831,46.53349,S3-MC,0.4,134,67,1
53041971300-W1-MC,-122.87831,46.53349,W1-MC,1117.6,256234,128138,1881
53077000300-C2L-PC,-120.54233,46.61705,C2L-PC,0.6,811,405,5
53077000300-MH-PC,-120.54233,46.61705,MH-PC,18.4,1272,637,20
53077000300-RM1L-PC,-120.54233,46.61705,RM1L-PC,1.4,1139,570,7
53077000300-W1-PC,-120.54233,46.61705,W1-PC,36.2,11109,5556,83
53077000300-C2L-LC,-120.54233,46.61705,C2L-LC,11.7,16435,8219,96
53077000300-C3L-LC,-120.54233,46.61705,C3L-LC,2.1,2092,1046,13
53077000300-MH-LC,-120.54233,46.61705,MH-LC,372.3,25793,12910,409
53077000300-RM1L-LC,-120.54233,46.61705,RM1L-LC,27.7,23102,11553,142
53077000300-S1L-LC,-120.54233,46.61705,S1L-LC,0.3,938,469,5
53077000300-S2L-LC,-120.54233,46.61705,S2L-LC,0.2,759,379,4
53077000300-S3-LC,-120.54233,46.61705,S3-LC,3.2,3122,1561,20
53077000300-S4L-LC,-120.54233,46.61705,S4L-LC,0.5,1407,704,7
53077000300-W1-LC,-120.54233,46.61705,W1-LC,734.6,225254,112650,1692
53061050500-C2L-PC,-122.37824,47.80665,C2L-PC,0.8,921,460,6
53061050500-C3L-PC,-122.37824,47.80665,C3L-PC,3.9,4393,2197,27
53061050500-MH-PC,-122.37824,47.80665,MH-PC,0.6,638,319,4
53061050500-RM1L-PC,-122.37824,47.80665,RM1L-PC,2.8,1729,864,11
53061050500-S3-PC,-122.37824,47.80665,S3-PC,0.3,300,150,2
53061050500-W1-PC,-122.37824,47.80665,W1-PC,96.6,34265,17136,223
53061050500-C2L-MC,-122.37824,47.80665,C2L-MC,15.1,16784,8394,102
53061050500-MH-MC,-122.37824,47.80665,MH-MC,10.3,11637,5820,71
53061050500-RM1L-MC,-122.37824,47.80665,RM1L-MC,51.7,31514,15760,197
53061050500-S3-MC,-122.37824,47.80665,S3-MC,4.9,5469,2735,33
53061050500-W1-MC,-122.37824,47.80665,W1-MC,1760.8,624684,312397,4060
53063000200-C2L-PC,-117.37095,47.70771,C2L-PC,6.5,2715,1360,21
53063000200-C3L-PC,-117.37095,47.70771,C3L-PC,3.5,1376,689,11
53063000200-MH-PC,-117.37095,47.70771,MH-PC,11.8,1999,1005,21
53063000200-RM1L-PC,-117.37095,47.70771,RM1L-PC,22.6,4873,2439,42
53063000200-S3-PC,-117.37095,47.70771,S3-PC,2.0,807,404,7
53063000200-W1-PC,-117.37095,47.70771,W1-PC,1265.2,210750,105449,1933
53063000200-C2L-LC,-117.37095,47.70771,C2L-LC,1.1,443,222,3
53063000200-C3L-LC,-117.37095,47.70771,C3L-LC,0.6,224,112,2
