eid,aid,mainshock,mag,lon,lat,depth
261,9,LCBC_EQ3,4.59678065278,-123.652658888,48.0647309217,12.8978486638
262,10,LCBC_EQ3,4.9596671932,-123.40180766,48.0665904423,10.4744866865
263,11,LCBC_EQ3,4.51471814818,-123.50379861,48.2036501709,10.8647679036
264,12,LCBC_EQ3,4.79298606915,-123.449237437,48.2051126114,7.62831285361
265,13,LCBC_EQ3,4.87039800401,-123.709670248,48.0870144409,11.2941214148
266,14,LCBC_EQ3,4.81685045964,-123.611036618,48.1223038428,19.2520776915
267,15,LCBC_EQ3,4.58616870799,-123.570095645,48.2302246592,17.6072466845
268,16,LCBC_EQ3,4.55276244182,-123.294709135,47.969033837,6.32372590522
269,17,LCBC_EQ3,5.32201486103,-123.474998672,48.2206234696,4.47649259713
270,18,LCBC_EQ3,4.87474875693,-123.485098823,48.033575208,18.9363890035
271,19,LCBC_EQ3,4.61142078442,-123.668484033,48.1917113679,12.4279959981
272,20,LCBC_EQ3,4.66251684676,-123.345675853,48.1207244439,12.6054051704
273,21,LCBC_EQ3,4.53021887774,-123.354467142,48.1131303317,16.4914879313
274,22,LCBC_EQ3,4.97675688974,-123.403008662,48.2048520333,9.03502358194
275,23,LCBC_EQ3,4.59832733347,-123.37741669,47.991519915,11.7105211014
276,24,LCBC_EQ3,4.54385263079,-123.307467849,48.0457659261,19.4986066103
277,25,LCBC_EQ3,4.65070371323,-123.655929244,48.1488965863,14.7543789909
278,26,LCBC_EQ3,5.12790353511,-123.484726917,48.2040618421,6.45992051193
279,27,LCBC_EQ3,4.95333850801,-123.684062534,48.059228644,6.13162796775
280,28,LCBC_EQ3,5.41246888617,-123.623161437,48.2202338891,7.26823613333
281,0,RSC5_Death,7.082923830450921,-123.040692592,46.9783410213,9.89949495322
282,1,RSC5_Death,4.69508663092,-123.389451362,47.1911466286,10.0338730267
283,2,RSC5_Death,5.72432493508,-122.959351956,46.9035594738,7.51968327837
284,3,RSC5_Death,4.66447539874,-123.023530901,47.14597785,13.7296189896
285,4,RSC5_Death,5.04973301293,-123.144077626,47.0913387578,13.9844549948
286,5,RSC5_Death,4.73001094726,-122.768253629,46.7693505283,11.0255139452
287,6,RSC5_Death,4.82476952124,-123.501121493,47.3074865904,11.785760699
288,7,RSC5_Death,4.63635861054,-122.904174415,46.7080902733,19.3528546288
289,8,RSC5_Death,5.19991631107,-123.104707609,46.8439168505,15.7229710623
290,9,RSC5_Death,5.03376197566,-122.694562404,46.5913145797,5.76962802372
291,10,RSC5_Death,4.59972805421,-122.914190281,46.9516026163,7.39408113393
292,11,RSC5_Death,4.61065940405,-123.487458087,47.1777428454,19.609226151
293,12,RSC5_Death,4.53268456472,-123.381046061,47.2587071712,15.6234488607
294,13,RSC5_Death,4.52501227784,-122.620778454,46.8158262576,18.6407220183
295,14,RSC5_Death,5.06632789691,-122.686301497,46.8103533018,8.86178342382
296,15,RSC5_Death,5.11846133947,-123.046323815,47.1669812167,15.8698697614
297,16,RSC5_Death,4.84693766137,-122.873119193,46.9440026126,15.4240433364
298,17,RSC5_Death,4.93969607042,-123.036267825,46.9941047642,8.71503976703
299,18,RSC5_Death,4.60539948946,-122.783276367,46.6008593206,12.8130612072
300,19,RSC5_Death,4.79340094218,-122.600460065,46.7648719471,14.0386417803
301,20,RSC5_Death,5.39486957126,-122.722662597,46.5824406544,11.6981089732
302,21,RSC5_Death,4.87025002856,-122.630201368,46.8239901696,17.2348593065
303,22,RSC5_Death,4.67424740563,-122.593533578,46.8150304668,17.3259046688
304,23,RSC5_Death,4.58321514236,-123.301879627,47.146154737,17.6096087728
305,24,RSC5_Death,5.1290318603,-122.809204139,46.7372168028,16.8547771056
306,25,RSC5_Death,5.24999045846,-122.703708607,46.9481352598,11.8093356352
307,26,RSC5_Death,5.43208711067,-122.549554499,46.7716326102,10.1030127704
308,27,RSC5_Death,4.57320190539,-122.958993522,46.9438042447,17.3020205394
309,28,RSC5_Death,5.14074565445,-123.32912473,47.2539872296,11.8432233369
310,29,RSC5_Death,4.59643402701,-123.024539411,46.8663490338,7.94194237805
311,30,RSC5_Death,5.03449528524,-122.874356502,46.8590300256,12.1174965172
312,31,RSC5_Death,5.12772123708,-123.178211259,47.2272412631,6.26959715071
313,32,RSC5_Death,4.8542091093,-123.26607916,46.9568796833,15.0660718496
314,33,RSC5_Death,4.84938080935,-122.877658712,46.965175567,9.37474050598
315,34,RSC5_Death,5.04941511557,-123.236464182,47.002149965,8.17054077516
316,35,RSC5_Death,4.69824214049,-123.251578891,46.9907304207,19.3041399398
317,36,RSC5_Death,4.70963755983,-123.512121019,47.0906394986,16.4300959321
318,37,RSC5_Death,5.41175424703,-122.675933917,46.7285410427,16.5931120436
